2023-01-21 21:49:11.723304: finish training task28, epoch:7
2023-01-21 22:28:14.468579: finish training task28, epoch:8
2023-01-21 23:08:00.697995: finish training task28, epoch:9
2023-01-21 23:48:44.444248: finish training task28, epoch:10
2023-01-22 00:27:28.745767: finish training task28, epoch:11
2023-01-22 01:07:55.013202: finish training task28, epoch:12
2023-01-22 01:47:10.271296: finish training task28, epoch:13
2023-01-22 02:25:18.256215: finish training task28, epoch:14
2023-01-22 03:02:49.443778: finish training task28, epoch:15
2023-01-22 03:39:48.534972: finish training task28, epoch:16
2023-01-22 04:14:04.347222: finish training task28, epoch:17
2023-01-22 04:47:17.876049: finish training task28, epoch:18
2023-01-22 05:19:29.596077: finish training task28, epoch:19
2023-01-22 06:10:05.819502: finish training task29, epoch:1
2023-01-22 06:24:44.686550: finish training task29, epoch:2
2023-01-22 06:37:26.219645: finish training task29, epoch:3
2023-01-22 06:49:37.665352: finish training task29, epoch:4
2023-01-22 07:01:11.146255: finish training task29, epoch:5
2023-01-22 07:12:39.401144: finish training task29, epoch:6
2023-01-22 07:23:51.445834: finish training task29, epoch:7
2023-01-22 07:35:39.373740: finish training task29, epoch:8
2023-01-22 07:47:05.520647: finish training task29, epoch:9
2023-01-22 07:58:11.729482: finish training task29, epoch:10
2023-01-22 08:09:08.373722: finish training task29, epoch:11
2023-01-22 08:21:12.304163: finish training task29, epoch:12
2023-01-22 08:33:08.515255: finish training task29, epoch:13
2023-01-22 08:46:58.100700: finish training task29, epoch:14
2023-01-22 09:01:31.574695: finish training task29, epoch:15
2023-01-22 09:14:52.181519: finish training task29, epoch:16
2023-01-22 09:27:26.958547: finish training task30, epoch:1
2023-01-22 09:27:50.761680: finish training task30, epoch:2
2023-01-22 09:28:06.641515: finish training task30, epoch:3
2023-01-22 09:28:21.374789: finish training task30, epoch:4
2023-01-22 09:28:36.368708: finish training task30, epoch:5
2023-01-22 09:28:51.360498: finish training task30, epoch:6
2023-01-22 09:29:06.325025: finish training task30, epoch:7
2023-01-22 09:29:21.222303: finish training task30, epoch:8
2023-01-22 09:29:36.316407: finish training task30, epoch:9
2023-01-22 09:31:08.839178: finish training task31, epoch:1
2023-01-22 09:31:45.680802: finish training task31, epoch:2
2023-01-22 09:32:19.821323: finish training task31, epoch:3
2023-01-22 09:32:52.749615: finish training task31, epoch:4
2023-01-22 09:33:24.746275: finish training task31, epoch:5
2023-01-22 09:33:56.675102: finish training task31, epoch:6
2023-01-22 09:34:29.734240: finish training task31, epoch:7
2023-01-22 09:35:01.690233: finish training task31, epoch:8
2023-01-22 09:35:33.620006: finish training task31, epoch:9
2023-01-22 09:36:05.550943: finish training task31, epoch:10
2023-01-22 09:36:37.469265: finish training task31, epoch:11
2023-01-22 09:37:09.411414: finish training task31, epoch:12
2023-01-22 09:37:41.271557: finish training task31, epoch:13
2023-01-22 10:53:18.651928: finish training task32, epoch:1
2023-01-22 11:59:23.660246: finish training task32, epoch:2
2023-01-22 13:07:15.443992: finish training task32, epoch:3
2023-01-22 14:17:10.849617: finish training task32, epoch:4
2023-01-22 15:25:28.875547: finish training task32, epoch:5
2023-01-22 16:30:55.503124: finish training task32, epoch:6
2023-01-22 17:46:30.719401: finish training task33, epoch:1
2023-01-22 17:57:23.032619: finish training task33, epoch:2
2023-01-22 18:06:31.050962: finish training task33, epoch:3
